
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
chrome.exe                    8312 Console                    1     23,712 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                    8072 Console                    1   2,86,848 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:19 N/A                                                                     
chrome.exe                    5612 Console                    1     56,316 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                    7056 Console                    1     21,456 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                    4728 Console                    1     48,864 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                   15988 Console                    1   1,50,332 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:19 N/A                                                                     
svchost.exe                   6880 Services                   0      9,428 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   7424 Services                   0     14,436 K Unknown         N/A                                                     0:00:00 N/A                                                                     
backgroundTaskHost.exe        9948 Console                    1     27,996 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 OleMainThreadWndName                                                    
cmd.exe                      15176 Console                    1      5,952 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
conhost.exe                  15804 Console                    1      9,820 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
OpenConsole.exe              12700 Console                    1     14,800 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
WindowsTerminal.exe            984 Console                    1   1,15,140 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:03 C:\WINDOWS\system32\cmd.exe - tasklist  /v                              
SearchProtocolHost.exe       12592 Services                   0     19,280 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SearchFilterHost.exe           800 Services                   0     14,688 K Unknown         N/A                                                     0:00:00 N/A                                                                     
chrome.exe                   13712 Console                    1   2,03,684 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:08 N/A                                                                     
chrome.exe                   12532 Console                    1     18,912 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
chrome.exe                   10108 Console                    1     33,168 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                  13808 Services                   0      8,680 K Unknown         N/A                                                     0:00:00 N/A                                                                     
WmiPrvSE.exe                 13832 Services                   0     14,380 K Unknown         N/A                                                     0:00:03 N/A                                                                     
SearchFilterHost.exe          1852 Services                   0     12,304 K Unknown         N/A                                                     0:00:00 N/A                                                                     
tasklist.exe                  4908 Console                    1     12,620 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
